圈号(scan_cnt),包数(packets),点数(points),最小角度(deg),最大角度(deg),最小距离(mm),最大距离(mm),时间类型(time_type),本圈最早时间戳(s),本圈最晚时间戳(s),本圈内时间跨度(ms),圈间时间差(ms),上一圈号(prev_scan_cnt),帧序号范围(seq_start),帧序号范围(seq_end),缺包估计(seq_missing_est),不连续次数(seq_discont),缺口累加估计(seq_missing_sum_est),重复次数(seq_dup),完成时间(completion_time),实时圈间时间差(ms)高精度
237,12,694,-88.640000,294.090000,0,65409,0,1276.829999999842,1276.829999999842,0.000000,0.000000,N/A,84,95,0,0,0,0,2026-05-06 16:25:00.149,0.000000
238,12,694,-88.640000,294.090000,0,65409,0,1276.896999999881,1276.896999999881,0.000000,67.000000,237,96,107,0,0,0,0,2026-05-06 16:25:00.216,67.000000
239,12,694,-88.640000,294.090000,0,65408,0,1276.963999999920,1276.963999999920,0.000000,67.000000,238,108,119,0,0,0,0,2026-05-06 16:25:00.281,67.000000
240,12,694,-86.080000,294.090000,0,65409,0,1277.029999999795,1277.029999999795,0.000000,66.000000,239,120,131,0,0,0,0,2026-05-06 16:25:00.348,66.000000
241,12,694,-88.640000,294.090000,0,65409,0,1277.096999999834,1277.096999999834,0.000000,67.000000,240,132,143,0,0,0,0,2026-05-06 16:25:00.415,67.000000
242,12,694,-86.080000,294.090000,0,65408,0,1277.163999999873,1277.163999999873,0.000000,67.000000,241,144,155,0,0,0,0,2026-05-06 16:25:00.478,67.000000
243,12,694,-88.640000,294.090000,0,65408,0,1277.229999999981,1277.229999999981,0.000000,66.000000,242,156,167,0,0,0,0,2026-05-06 16:25:00.547,66.000000
244,12,694,-88.640000,294.090000,0,65408,0,1277.296999999788,1277.296999999788,0.000000,67.000000,243,168,179,0,0,0,0,2026-05-06 16:25:00.612,67.000000
245,12,694,-88.640000,294.090000,0,65408,0,1277.363999999827,1277.363999999827,0.000000,67.000000,244,180,191,0,0,0,0,2026-05-06 16:25:00.681,67.000000
246,12,694,-88.640000,294.090000,0,65408,0,1277.429999999935,1277.429999999935,0.000000,66.000000,245,192,203,0,0,0,0,2026-05-06 16:25:00.745,66.000000
247,12,694,-88.640000,294.090000,0,65409,0,1277.496999999974,1277.496999999974,0.000000,67.000000,246,204,215,0,0,0,0,2026-05-06 16:25:00.814,67.000000
248,12,694,-88.640000,294.090000,0,65408,0,1277.563999999780,1277.563999999780,0.000000,67.000000,247,216,227,0,0,0,0,2026-05-06 16:25:00.878,67.000000
249,12,694,-86.080000,294.090000,0,65408,0,1277.629999999888,1277.629999999888,0.000000,66.000000,248,228,239,0,0,0,0,2026-05-06 16:25:00.947,66.000000
250,12,694,-88.640000,294.090000,0,65408,0,1277.696999999927,1277.696999999927,0.000000,67.000000,249,240,251,0,0,0,0,2026-05-06 16:25:01.012,67.000000
251,12,694,-88.640000,294.090000,0,65408,0,1277.763999999966,1277.763999999966,0.000000,67.000000,250,252,7,0,0,0,0,2026-05-06 16:25:01.082,67.000000
252,12,694,-86.080000,294.090000,0,65408,0,1277.830999999773,1277.830999999773,0.000000,67.000000,251,8,19,0,0,0,0,2026-05-06 16:25:01.145,67.000000
253,12,694,-88.640000,294.090000,0,65409,0,1277.896999999881,1277.896999999881,0.000000,66.000000,252,20,31,0,0,0,0,2026-05-06 16:25:01.215,66.000000
254,12,694,-88.640000,294.090000,0,65408,0,1277.963999999920,1277.963999999920,0.000000,67.000000,253,32,43,0,0,0,0,2026-05-06 16:25:01.278,67.000000
255,12,694,-88.640000,294.090000,0,65408,0,1278.029999999795,1278.029999999795,0.000000,66.000000,254,44,55,0,0,0,0,2026-05-06 16:25:01.347,66.000000
0,12,694,-86.080000,294.090000,0,65408,0,1278.096999999834,1278.096999999834,0.000000,67.000000,255,56,67,0,0,0,0,2026-05-06 16:25:01.412,67.000000
1,12,694,-88.640000,294.090000,0,65409,0,1278.163999999873,1278.163999999873,0.000000,67.000000,0,68,79,0,0,0,0,2026-05-06 16:25:01.481,67.000000
2,12,694,-86.080000,294.090000,0,65409,0,1278.230999999912,1278.230999999912,0.000000,67.000000,1,80,91,0,0,0,0,2026-05-06 16:25:01.545,67.000000
3,12,694,-88.640000,294.090000,0,65408,0,1278.296999999788,1278.296999999788,0.000000,66.000000,2,92,103,0,0,0,0,2026-05-06 16:25:01.614,66.000000
4,12,694,-86.080000,294.090000,0,65408,0,1278.363999999827,1278.363999999827,0.000000,67.000000,3,104,115,0,0,0,0,2026-05-06 16:25:01.680,67.000000
5,12,694,-88.640000,294.090000,0,65408,0,1278.430999999866,1278.430999999866,0.000000,67.000000,4,116,127,0,0,0,0,2026-05-06 16:25:01.748,67.000000
6,12,694,-86.080000,294.090000,0,65408,0,1278.496999999974,1278.496999999974,0.000000,66.000000,5,128,139,0,0,0,0,2026-05-06 16:25:01.812,66.000000
7,12,694,-88.640000,294.090000,0,65408,0,1278.563999999780,1278.563999999780,0.000000,67.000000,6,140,151,0,0,0,0,2026-05-06 16:25:01.882,67.000000
8,12,694,-88.640000,294.090000,0,65408,0,1278.630999999819,1278.630999999819,0.000000,67.000000,7,152,163,0,0,0,0,2026-05-06 16:25:01.947,67.000000
9,12,694,-88.640000,294.090000,0,65408,0,1278.696999999927,1278.696999999927,0.000000,66.000000,8,164,175,0,0,0,0,2026-05-06 16:25:02.014,66.000000
10,12,694,-88.640000,294.090000,0,65408,0,1278.763999999966,1278.763999999966,0.000000,67.000000,9,176,187,0,0,0,0,2026-05-06 16:25:02.079,67.000000
11,12,694,-88.640000,294.090000,0,65408,0,1278.830999999773,1278.830999999773,0.000000,67.000000,10,188,199,0,0,0,0,2026-05-06 16:25:02.148,67.000000
12,12,694,-88.640000,294.090000,0,65408,0,1278.896999999881,1278.896999999881,0.000000,66.000000,11,200,211,0,0,0,0,2026-05-06 16:25:02.212,66.000000
